size(byte)	cam_time_sent	edge_time_arv	edge_time_sent	telegram_time_arv
35702	13:25:56	13:25:55	13:25:55	13:25:57
36589	13:25:57	13:25:57	13:25:58	13:26:00
36609	13:26:22	13:26:23	13:26:23	13:26:25
35481	13:26:30	13:26:29	13:26:30	13:26:32
36458	13:26:32	13:26:32	13:26:32	13:26:34
35574	13:26:54	13:26:53	13:26:54	13:26:55
35000	13:26:56	13:26:55	13:26:56	13:26:57
35225	13:27:27	13:27:26	13:27:26	13:27:28
34892	13:27:28	13:27:28	13:27:28	13:27:30
35079	13:27:35	13:27:35	13:27:35	13:27:37
35280	13:27:37	13:27:37	13:27:37	13:27:39
35764	13:27:44	13:27:43	13:27:43	13:27:45
34994	13:27:45	13:27:45	13:27:46	13:27:47
35211	13:27:52	13:27:52	13:27:52	13:27:54
34685	13:27:54	13:27:54	13:27:54	13:27:56
34968	13:28:00	13:28:00	13:28:00	13:28:02
35651	13:28:02	13:28:02	13:28:02	13:28:04
35442	13:28:08	13:28:08	13:28:08	13:28:10
35837	13:28:10	13:28:10	13:28:10	13:28:12
35307	13:28:17	13:28:16	13:28:17	13:28:18
35193	13:28:19	13:28:18	13:28:19	13:28:20
35301	13:28:25	13:28:24	13:28:25	13:28:26
35289	13:28:27	13:28:27	13:28:28	13:28:29
34965	13:28:34	13:28:33	13:28:33	13:28:35
33889	13:28:35	13:28:35	13:28:35	13:28:37
33821	13:30:08	13:30:08	13:30:09	13:30:10
34208	13:30:10	13:30:10	13:30:11	13:30:12
34049	13:30:16	13:30:17	13:30:17	13:30:19
33647	13:30:18	13:30:19	13:30:19	13:30:21
34109	13:30:24	13:30:24	13:30:24	13:30:26
33705	13:31:01	13:31:02	13:31:02	13:31:04
34262	13:31:03	13:31:05	13:31:05	13:31:07
34438	13:31:08	13:31:09	13:31:09	13:31:11
34283	13:31:10	13:31:11	13:31:11	13:31:13
34516	13:31:16	13:31:17	13:31:17	13:31:19
33884	13:31:18	13:31:19	13:31:19	13:31:21
33411	13:32:22	13:32:22	13:32:23	13:32:24
33753	13:32:23	13:32:24	13:32:25	13:32:26
34417	13:32:39	13:32:40	13:32:40	13:32:42
34574	13:33:02	13:33:04	13:33:04	13:33:06
34261	13:33:11	13:33:11	13:33:12	13:33:13
34045	13:33:19	13:33:20	13:33:20	13:33:22
34882	13:34:18	13:34:18	13:34:19	13:34:21
34493	13:34:31	13:34:32	13:34:32	13:34:34
34208	13:34:33	13:34:34	13:34:35	13:34:36
33850	13:34:39	13:34:39	13:34:39	13:34:43
34549	13:35:10	13:35:10	13:35:11	13:35:14
34924	13:35:12	13:35:14	13:35:15	13:35:17
35306	13:35:25	13:35:25	13:35:26	13:35:28
35596	13:35:38	13:35:38	13:35:39	13:35:41
34980	13:35:39	13:35:41	13:35:42	13:35:45
34255	13:36:39	13:36:39	13:36:39	13:36:41
34210	13:36:40	13:36:41	13:36:42	13:36:46
34961	13:36:48	13:36:49	13:36:49	13:36:52
34630	13:37:02	13:37:02	13:37:03	13:37:05
34554	13:37:31	13:37:31	13:37:31	13:37:34
33587	13:37:46	13:37:46	13:37:47	13:37:48
